rotation_deg,inside_ratio,outside_ratio,iou,score
0,0.367368,0.632632,0.367368,0.267368
2,0.365205,0.634795,0.365205,0.265205
4,0.363361,0.636639,0.363361,0.263361
6,0.360377,0.639623,0.360377,0.260377
8,0.368996,0.631004,0.368313,0.26862
10,0.373237,0.626763,0.373237,0.273237
12,0.374246,0.625754,0.374246,0.274246
14,0.363875,0.636125,0.363875,0.263875
16,0.363434,0.636566,0.363434,0.263434
18,0.363949,0.636051,0.363949,0.263949
20,0.369936,0.630064,0.369936,0.269936
22,0.369405,0.630595,0.369405,0.269405
24,0.365725,0.634275,0.365725,0.265725
26,0.363068,0.636932,0.363068,0.263068
28,0.360304,0.639696,0.360304,0.260304
30,0.369936,0.630064,0.369936,0.269936
32,0.370088,0.629912,0.370088,0.270088
34,0.372233,0.627767,0.372233,0.272233
36,0.36986,0.63014,0.36986,0.26986
38,0.363508,0.636492,0.363508,0.263508
40,0.367764,0.632236,0.367689,0.267723
42,0.368799,0.631201,0.368799,0.268799
44,0.365799,0.634201,0.365799,0.265799
46,0.375026,0.624974,0.375026,0.275026
48,0.365948,0.634052,0.365948,0.265948
50,0.371004,0.628996,0.371004,0.271004
52,0.371464,0.628536,0.371464,0.271464
54,0.362482,0.637518,0.362482,0.262482
56,0.366097,0.633903,0.366097,0.266097
58,0.363288,0.636712,0.363288,0.263288
60,0.367368,0.632632,0.367368,0.267368
62,0.366022,0.633978,0.366022,0.266022
64,0.371925,0.628075,0.371925,0.271925
66,0.363141,0.636859,0.363141,0.263141
68,0.369329,0.630671,0.369329,0.269329
70,0.369556,0.630444,0.369556,0.269556
72,0.356308,0.643692,0.356308,0.256308
74,0.366321,0.633679,0.366321,0.266321
76,0.362045,0.637955,0.362045,0.262045
78,0.369329,0.630671,0.369329,0.269329
80,0.360521,0.639479,0.360521,0.260521
82,0.361681,0.638319,0.361681,0.261681
84,0.36948,0.63052,0.36948,0.26948
86,0.361899,0.638101,0.361899,0.261899
88,0.369253,0.630747,0.369253,0.269253
90,0.364835,0.635165,0.364835,0.264835
92,0.36219,0.63781,0.36219,0.26219
94,0.363508,0.636492,0.363508,0.263508
96,0.358509,0.641491,0.358509,0.258509
98,0.366626,0.633374,0.366327,0.266461
100,0.371004,0.628996,0.371004,0.271004
102,0.363141,0.636859,0.363141,0.263141
104,0.371234,0.628766,0.371234,0.271234
106,0.364539,0.635461,0.364539,0.264539
108,0.370622,0.629378,0.370622,0.270622
110,0.367293,0.632707,0.367293,0.267293
112,0.365948,0.634052,0.365948,0.265948
114,0.362336,0.637664,0.362336,0.262336
116,0.368044,0.631956,0.368044,0.268044
118,0.366694,0.633306,0.366694,0.266694
120,0.363508,0.636492,0.363508,0.263508
122,0.366246,0.633754,0.366246,0.266246
124,0.365279,0.634721,0.365279,0.265279
126,0.361318,0.638682,0.361318,0.261318
128,0.359584,0.640416,0.359584,0.259584
130,0.367668,0.632332,0.367668,0.267668
132,0.365799,0.634201,0.365799,0.265799
134,0.370165,0.629835,0.370165,0.270165
136,0.364689,0.635311,0.364393,0.264526
138,0.366171,0.633829,0.366171,0.266171
140,0.368723,0.631277,0.368723,0.268723
142,0.370035,0.629965,0.369959,0.269993
