rotation_deg,inside_ratio,outside_ratio,iou,score
0,0.60192,0.39808,0.37848,0.379028
2,0.6114,0.3886,0.34843,0.366766
4,0.542028,0.457972,0.280961,0.298441
6,0.629842,0.370158,0.354397,0.378347
8,0.565018,0.434982,0.296177,0.317156
10,0.576516,0.423484,0.326114,0.338795
12,0.609892,0.390108,0.358006,0.371355
14,0.582211,0.417789,0.348139,0.353472
16,0.623612,0.376388,0.330816,0.362574
18,0.593612,0.406388,0.326162,0.346514
20,0.649546,0.350454,0.402737,0.413801
22,0.638068,0.361932,0.402432,0.408468
24,0.638704,0.361296,0.414303,0.415283
26,0.664482,0.335518,0.437551,0.43967
28,0.670422,0.329578,0.440065,0.443726
30,0.680703,0.319297,0.453802,0.455908
32,0.7027,0.2973,0.448987,0.463158
34,0.725469,0.274531,0.444964,0.471192
36,0.730943,0.269057,0.455325,0.479353
38,0.706646,0.293354,0.417078,0.447384
40,0.733062,0.266938,0.476787,0.492111
42,0.756896,0.243104,0.518649,0.52586
44,0.759768,0.240232,0.529692,0.533226
46,0.764351,0.235649,0.523844,0.532072
48,0.778303,0.221697,0.542414,0.548564
50,0.787484,0.212516,0.532577,0.547285
52,0.789394,0.210606,0.540376,0.552434
54,0.796855,0.203145,0.560288,0.566743
56,0.813009,0.186991,0.537627,0.561549
58,0.8281,0.1719,0.583796,0.593733
60,0.825003,0.174997,0.569112,0.584263
62,0.819481,0.180519,0.602553,0.60017
64,0.845936,0.154064,0.619461,0.621375
66,0.840154,0.159846,0.601196,0.608727
68,0.835042,0.164958,0.62427,0.619117
70,0.845507,0.154493,0.597208,0.608943
72,0.861217,0.138783,0.60197,0.618631
74,0.858463,0.141537,0.614361,0.624207
76,0.875091,0.124909,0.573007,0.608945
78,0.886425,0.113575,0.653129,0.658112
80,0.883077,0.116923,0.595056,0.624665
82,0.881338,0.118662,0.582449,0.616949
84,0.89954,0.10046,0.614367,0.642695
86,0.897076,0.102924,0.673882,0.674319
88,0.889608,0.110392,0.595045,0.627599
90,0.908798,0.091202,0.724675,0.70753
92,0.895879,0.104121,0.592294,0.628907
94,0.889918,0.110082,0.642869,0.654041
96,0.908391,0.091609,0.666936,0.675591
98,0.893803,0.106197,0.591985,0.627803
100,0.898315,0.101685,0.645751,0.659405
102,0.891566,0.108434,0.65445,0.661152
104,0.876272,0.123728,0.637653,0.645031
106,0.892965,0.107035,0.681135,0.676459
108,0.867411,0.132589,0.615167,0.628677
110,0.859557,0.140443,0.62464,0.630353
112,0.855367,0.144633,0.599455,0.614616
114,0.850062,0.149938,0.631874,0.630059
116,0.82611,0.17389,0.584605,0.593282
118,0.828005,0.171995,0.617567,0.612264
120,0.815403,0.184597,0.57968,0.585755
122,0.791902,0.208098,0.522849,0.543923
124,0.794417,0.205583,0.510892,0.538478
126,0.798934,0.201066,0.576883,0.576806
128,0.787016,0.212984,0.520268,0.540305
130,0.788323,0.211677,0.541392,0.552511
132,0.771583,0.228417,0.531909,0.539762
134,0.765697,0.234303,0.519403,0.530235
136,0.771878,0.228122,0.515227,0.53072
138,0.750951,0.249049,0.522613,0.525365
140,0.732862,0.267138,0.498938,0.504204
142,0.746017,0.253983,0.503694,0.512739
144,0.722924,0.277076,0.50021,0.500431
146,0.700261,0.299739,0.493788,0.486701
148,0.678101,0.321899,0.434627,0.44419
150,0.691492,0.308508,0.465011,0.466927
152,0.686412,0.313588,0.445747,0.454046
154,0.654014,0.345986,0.422676,0.426778
156,0.648257,0.351743,0.4094,0.416886
158,0.648948,0.351052,0.428619,0.427767
160,0.621255,0.378745,0.370872,0.383544
162,0.625715,0.374285,0.357381,0.378131
164,0.615307,0.384693,0.334611,0.360924
166,0.625822,0.374178,0.361471,0.380429
168,0.576107,0.423893,0.32808,0.339692
170,0.597213,0.402787,0.344541,0.358243
172,0.597841,0.402159,0.351401,0.362299
174,0.525991,0.474009,0.297472,0.300306
176,0.622145,0.377855,0.390371,0.394669
178,0.564766,0.435234,0.327574,0.33431
180,0.571242,0.428758,0.338392,0.343174
182,0.582107,0.417893,0.36985,0.365366
184,0.561351,0.438649,0.326758,0.332325
186,0.575724,0.424276,0.336545,0.344175
188,0.554514,0.445486,0.296492,0.312602
190,0.622871,0.377129,0.37642,0.387323
192,0.586045,0.413955,0.33729,0.34923
194,0.583491,0.416509,0.342554,0.350976
196,0.611651,0.388349,0.392395,0.391061
198,0.630782,0.369218,0.406596,0.40748
200,0.578591,0.421409,0.322538,0.337762
202,0.625159,0.374841,0.338989,0.367765
204,0.662345,0.337655,0.406642,0.421709
206,0.641336,0.358664,0.395902,0.406348
208,0.683566,0.316434,0.433001,0.445756
210,0.69747,0.30253,0.457252,0.46535
212,0.698024,0.301976,0.475906,0.475859
214,0.72808,0.27192,0.468504,0.485313
216,0.721691,0.278309,0.470559,0.483568
218,0.730337,0.269663,0.492564,0.499562
220,0.747815,0.252185,0.509213,0.516584
222,0.757001,0.242999,0.520441,0.526893
224,0.755501,0.244499,0.515112,0.523287
226,0.739921,0.260079,0.462927,0.487574
228,0.767258,0.232742,0.517478,0.529879
230,0.780157,0.219843,0.508011,0.530477
232,0.791373,0.208627,0.57642,0.573149
234,0.810408,0.189592,0.535363,0.559133
236,0.818163,0.181837,0.599565,0.597934
238,0.799461,0.200539,0.534073,0.553498
240,0.822182,0.177818,0.616729,0.609183
242,0.838358,0.161642,0.564188,0.587564
244,0.817048,0.182952,0.53852,0.563858
246,0.816973,0.183027,0.558467,0.574795
248,0.852388,0.147612,0.610621,0.619416
250,0.83722,0.16278,0.552044,0.580373
252,0.840045,0.159955,0.520549,0.564322
254,0.862192,0.137808,0.620136,0.629061
256,0.845432,0.154568,0.49011,0.550005
258,0.888578,0.111422,0.655172,0.660205
260,0.898616,0.101384,0.684639,0.680929
262,0.86924,0.13076,0.54419,0.590462
264,0.888215,0.111785,0.576074,0.616537
266,0.900395,0.099605,0.674864,0.676353
268,0.899582,0.100418,0.607924,0.63917
270,0.910357,0.089643,0.690682,0.689536
272,0.905554,0.094446,0.674392,0.678415
274,0.909635,0.090365,0.69747,0.692945
276,0.884568,0.115432,0.573797,0.613644
278,0.886309,0.113691,0.586615,0.621477
280,0.910674,0.089326,0.715551,0.703356
282,0.894016,0.105984,0.637244,0.652791
284,0.893434,0.106566,0.64079,0.65448
286,0.87465,0.12535,0.593537,0.620038
288,0.875437,0.124563,0.649356,0.651092
290,0.864888,0.135112,0.629985,0.635691
292,0.820534,0.179466,0.531329,0.561471
294,0.824774,0.175226,0.500658,0.54651
296,0.837981,0.162019,0.616393,0.616108
298,0.814213,0.185787,0.523174,0.554142
300,0.813588,0.186412,0.585263,0.588009
302,0.816925,0.183075,0.551476,0.570928
304,0.79585,0.20415,0.533104,0.55134
306,0.786243,0.213757,0.547451,0.554907
308,0.790296,0.209704,0.510739,0.53654
310,0.782771,0.217229,0.553846,0.556862
312,0.769231,0.230769,0.522628,0.533599
314,0.757596,0.242404,0.497307,0.514437
316,0.752635,0.247365,0.5223,0.525951
318,0.746834,0.253166,0.493187,0.507328
320,0.752675,0.247325,0.524219,0.527024
322,0.726529,0.273471,0.504663,0.504503
324,0.734052,0.265948,0.465419,0.486304
326,0.691834,0.308166,0.419289,0.441934
328,0.711444,0.288556,0.425287,0.454057
330,0.664151,0.335849,0.424648,0.432424
332,0.683823,0.316177,0.451401,0.455991
334,0.667667,0.332333,0.41297,0.427584
336,0.680968,0.319032,0.428314,0.442009
338,0.673811,0.326189,0.432482,0.44108
340,0.636902,0.363098,0.385042,0.398379
342,0.608805,0.391195,0.368974,0.376898
344,0.662936,0.337064,0.416337,0.427306
346,0.539997,0.460003,0.282616,0.298438
348,0.547563,0.452437,0.291609,0.306788
350,0.58578,0.41422,0.341801,0.351592
352,0.559316,0.440684,0.318309,0.326762
354,0.581947,0.418053,0.339009,0.348331
356,0.53234,0.46766,0.290321,0.299229
358,0.56408,0.43592,0.330713,0.335728
