rotation_deg,inside_ratio,outside_ratio,iou,score
0,0.754033,0.245967,0.75084,0.652277
2,0.753009,0.246991,0.748723,0.650652
4,0.754614,0.245386,0.748097,0.65103
6,0.752193,0.247807,0.749454,0.650686
8,0.7543,0.2457,0.74513,0.649256
10,0.755831,0.244169,0.750293,0.652785
12,0.753141,0.246859,0.744883,0.648599
14,0.756753,0.243247,0.75509,0.655838
16,0.759049,0.240951,0.755477,0.657084
18,0.755578,0.244422,0.753036,0.65418
20,0.757227,0.242773,0.753228,0.655027
22,0.759094,0.240906,0.750368,0.654295
24,0.757598,0.242402,0.750918,0.653924
26,0.758027,0.241973,0.755467,0.656619
28,0.756268,0.243732,0.748275,0.651872
30,0.75662,0.24338,0.747282,0.651484
32,0.756605,0.243395,0.751723,0.65392
34,0.756519,0.243481,0.746179,0.650832
36,0.762166,0.237834,0.758453,0.660124
38,0.761516,0.238484,0.756458,0.658734
40,0.757055,0.242945,0.745917,0.650929
42,0.7629,0.2371,0.760083,0.661351
44,0.759358,0.240642,0.752872,0.655791
46,0.754663,0.245337,0.742149,0.64778
48,0.757571,0.242429,0.75011,0.653468
50,0.754525,0.245475,0.740567,0.646848
52,0.75458,0.24542,0.747621,0.650753
54,0.755066,0.244934,0.747876,0.651111
56,0.755226,0.244774,0.746811,0.650598
58,0.754537,0.245463,0.743695,0.648574
60,0.753322,0.246678,0.745944,0.649264
62,0.754169,0.245831,0.747659,0.650589
64,0.752253,0.247747,0.743683,0.64754
66,0.746755,0.253245,0.735153,0.640374
68,0.750074,0.249926,0.740347,0.644724
70,0.747029,0.252971,0.731704,0.6386
72,0.748341,0.251659,0.738113,0.642716
74,0.747907,0.252093,0.739326,0.643187
76,0.751478,0.248522,0.741935,0.64623
78,0.750074,0.249926,0.740017,0.644543
80,0.748377,0.251623,0.7376,0.642449
82,0.753583,0.246417,0.745978,0.6494
84,0.751494,0.248506,0.735987,0.642965
86,0.752111,0.247889,0.74178,0.646429
88,0.747611,0.252389,0.738493,0.642596
90,0.744094,0.255906,0.736895,0.640135
92,0.746951,0.253049,0.737522,0.641765
94,0.75125,0.24875,0.744681,0.647637
96,0.753885,0.246115,0.7455,0.649273
98,0.746506,0.253494,0.730327,0.637608
100,0.750926,0.249074,0.740076,0.644958
102,0.749743,0.250257,0.742982,0.646024
104,0.753172,0.246828,0.746018,0.649237
106,0.750514,0.249486,0.743739,0.646788
108,0.750371,0.249629,0.737557,0.643323
110,0.749034,0.250966,0.734947,0.641286
112,0.751602,0.248398,0.73775,0.643984
114,0.752336,0.247664,0.741667,0.646468
116,0.753419,0.246581,0.748357,0.650635
118,0.755964,0.244036,0.748423,0.651816
120,0.758177,0.241823,0.752939,0.655296
122,0.754469,0.245531,0.747512,0.650642
124,0.756076,0.243924,0.751978,0.653822
126,0.758365,0.241635,0.753014,0.655422
128,0.759632,0.240368,0.754711,0.656926
130,0.760155,0.239845,0.753318,0.656394
132,0.760863,0.239137,0.754464,0.657343
134,0.758021,0.241979,0.745283,0.651015
136,0.757366,0.242634,0.754144,0.655594
138,0.760622,0.239378,0.75096,0.655308
140,0.758702,0.241298,0.755804,0.657108
142,0.760148,0.239852,0.75791,0.658917
144,0.759557,0.240443,0.756876,0.658083
146,0.762442,0.237558,0.758162,0.660088
148,0.759758,0.240242,0.756291,0.657851
150,0.761486,0.238514,0.754173,0.657464
152,0.76087,0.23913,0.754132,0.657164
154,0.759693,0.240307,0.757794,0.658649
156,0.75824,0.24176,0.756348,0.6572
158,0.759787,0.240213,0.756769,0.658127
160,0.758585,0.241415,0.756022,0.657176
162,0.757151,0.242849,0.753264,0.655013
164,0.756757,0.243243,0.75165,0.653948
166,0.758865,0.241135,0.755072,0.656779
168,0.761185,0.238815,0.757594,0.65921
170,0.759394,0.240606,0.753019,0.655888
172,0.758901,0.241099,0.755219,0.656876
174,0.756347,0.243653,0.747908,0.651706
176,0.760219,0.239781,0.756076,0.65794
178,0.756909,0.243091,0.751577,0.653976
180,0.754811,0.245189,0.751279,0.652869
182,0.757379,0.242621,0.753155,0.655056
184,0.752461,0.247539,0.747192,0.649563
186,0.758865,0.241135,0.755072,0.656779
188,0.759416,0.240584,0.751695,0.655169
190,0.755333,0.244667,0.751354,0.653145
192,0.759344,0.240656,0.755994,0.657501
194,0.757299,0.242701,0.753521,0.655221
196,0.7601,0.2399,0.758423,0.659178
198,0.759082,0.240918,0.758079,0.65853
200,0.756112,0.243888,0.74868,0.652024
202,0.759017,0.240983,0.757456,0.658158
204,0.759043,0.240957,0.755807,0.657263
206,0.75792,0.24208,0.755027,0.656329
208,0.757884,0.242116,0.75488,0.656232
210,0.760783,0.239217,0.756633,0.6585
212,0.760963,0.239037,0.759169,0.659976
214,0.758529,0.241471,0.75228,0.655092
216,0.759858,0.240142,0.757063,0.658321
218,0.759657,0.240343,0.746639,0.652497
220,0.764557,0.235443,0.76048,0.662315
222,0.758836,0.241164,0.752134,0.65515
224,0.755913,0.244087,0.746146,0.650541
226,0.756395,0.243605,0.753625,0.654872
228,0.756769,0.243231,0.747539,0.651692
230,0.75741,0.24259,0.750845,0.653799
232,0.755957,0.244043,0.749083,0.652176
234,0.754753,0.245247,0.749342,0.651777
236,0.755638,0.244362,0.747103,0.650944
238,0.754479,0.245521,0.746192,0.649921
240,0.751629,0.248371,0.741201,0.645893
242,0.75052,0.24948,0.73781,0.64353
244,0.752067,0.247933,0.743612,0.647417
246,0.754135,0.245865,0.747184,0.650312
248,0.75,0.25,0.739397,0.644168
250,0.751329,0.248671,0.74234,0.646385
252,0.75477,0.24523,0.747364,0.650697
254,0.750294,0.249706,0.743194,0.646389
256,0.750815,0.249185,0.739308,0.644486
258,0.75118,0.24882,0.742745,0.646541
260,0.750855,0.249145,0.737803,0.643676
262,0.750185,0.249815,0.738147,0.643564
264,0.750111,0.249889,0.740492,0.644821
266,0.753181,0.246819,0.737938,0.644797
268,0.750112,0.249888,0.735213,0.641917
270,0.751882,0.248118,0.743541,0.647294
272,0.752024,0.247976,0.745441,0.648403
274,0.749963,0.250037,0.740897,0.644977
276,0.746397,0.253603,0.730551,0.637682
278,0.753042,0.246958,0.735691,0.643499
280,0.752177,0.247823,0.74405,0.647707
282,0.746213,0.253787,0.730484,0.637562
284,0.75229,0.24771,0.743829,0.647636
286,0.75037,0.24963,0.739866,0.644593
288,0.749375,0.250625,0.741527,0.645059
290,0.754239,0.245761,0.748281,0.650962
292,0.753046,0.246954,0.741803,0.646863
294,0.750627,0.249373,0.741545,0.645632
296,0.754142,0.245858,0.746194,0.649771
