rotation_deg,inside_ratio,outside_ratio,iou,score
0,0.69934,0.30066,0.57591,0.531453
2,0.717391,0.282609,0.601781,0.553806
4,0.735428,0.264572,0.625162,0.574782
6,0.751269,0.248731,0.646571,0.593685
8,0.770801,0.229199,0.671708,0.6163
10,0.782123,0.217877,0.691203,0.632117
12,0.792806,0.207194,0.708786,0.646595
14,0.797352,0.202648,0.71279,0.650843
16,0.803419,0.196581,0.72968,0.662863
18,0.803345,0.196655,0.724737,0.660111
20,0.800807,0.199193,0.723792,0.658449
22,0.800508,0.199492,0.719434,0.655917
24,0.795015,0.204985,0.709809,0.648152
26,0.780426,0.219574,0.689516,0.630426
28,0.764972,0.235028,0.670786,0.61317
30,0.747857,0.252143,0.645063,0.59132
32,0.728283,0.271717,0.61703,0.567094
34,0.712114,0.287886,0.593578,0.546919
36,0.694182,0.305818,0.578293,0.530443
38,0.683099,0.316901,0.559078,0.514887
40,0.673891,0.326109,0.546607,0.503885
42,0.661017,0.338983,0.534893,0.491649
44,0.646851,0.353149,0.5136,0.473563
46,0.647653,0.352347,0.513817,0.474043
48,0.644624,0.355376,0.510188,0.470684
50,0.632848,0.367152,0.498024,0.458695
52,0.63219,0.36781,0.495649,0.457092
54,0.631927,0.368073,0.492667,0.455334
56,0.631102,0.368898,0.495261,0.456389
58,0.635903,0.364097,0.498212,0.460173
60,0.644917,0.355083,0.509796,0.4706
62,0.651292,0.348708,0.516687,0.477259
64,0.660914,0.339086,0.527767,0.487683
66,0.671385,0.328615,0.542262,0.500368
68,0.682828,0.317172,0.557066,0.513659
70,0.690669,0.309331,0.56538,0.52176
72,0.711303,0.288697,0.590448,0.544833
74,0.722307,0.277693,0.608177,0.559535
76,0.742887,0.257113,0.625436,0.578289
78,0.752415,0.247585,0.647419,0.594667
80,0.758743,0.241257,0.658022,0.603346
82,0.76783,0.23217,0.672276,0.615276
84,0.789447,0.210553,0.697285,0.638758
86,0.786186,0.213814,0.697297,0.637297
88,0.783811,0.216189,0.688879,0.631599
90,0.788093,0.211907,0.703921,0.641798
92,0.782476,0.217524,0.690027,0.631629
94,0.782743,0.217257,0.685869,0.629462
96,0.7804,0.2196,0.682982,0.62682
98,0.759839,0.240161,0.661978,0.606015
100,0.745529,0.254471,0.635176,0.584835
102,0.741081,0.258919,0.630256,0.580127
104,0.724382,0.275618,0.61194,0.562539
106,0.71091,0.28909,0.595619,0.5475
108,0.704154,0.295846,0.583298,0.537683
110,0.684342,0.315658,0.562963,0.517584
112,0.673583,0.326417,0.544599,0.502642
114,0.667855,0.332145,0.534884,0.494721
116,0.655919,0.344081,0.524577,0.483681
118,0.655936,0.344064,0.525171,0.484015
120,0.650456,0.349544,0.51587,0.476434
122,0.633623,0.366377,0.492846,0.456195
124,0.637379,0.362621,0.499403,0.461492
126,0.634722,0.365278,0.500594,0.460951
128,0.632539,0.367461,0.494453,0.456592
130,0.637966,0.362034,0.503177,0.463832
132,0.643539,0.356461,0.510367,0.470295
134,0.651163,0.348837,0.517477,0.477636
136,0.660759,0.339241,0.528554,0.488047
138,0.669177,0.330823,0.542311,0.4994
140,0.680744,0.319256,0.556286,0.512292
142,0.693939,0.306061,0.57131,0.526493
144,0.710831,0.289169,0.594606,0.546907
146,0.723372,0.276628,0.610567,0.561329
148,0.737589,0.262411,0.628399,0.577534
150,0.75925,0.24075,0.658751,0.603976
152,0.76927,0.23073,0.676562,0.61828
154,0.780426,0.219574,0.689516,0.630426
156,0.794807,0.205193,0.708901,0.647558
158,0.800708,0.199292,0.721842,0.657332
160,0.802413,0.197587,0.728102,0.661542
162,0.804803,0.195197,0.722146,0.659342
164,0.801314,0.198686,0.723084,0.658288
166,0.80226,0.19774,0.715201,0.654378
168,0.793611,0.206389,0.709429,0.647311
170,0.777382,0.222618,0.682469,0.625179
172,0.766855,0.233145,0.661634,0.608984
174,0.744388,0.255612,0.634348,0.583866
176,0.73695,0.26305,0.622568,0.57404
178,0.710634,0.289366,0.587738,0.543041
180,0.700611,0.299389,0.576456,0.532326
