rotation_deg,inside_ratio,outside_ratio,iou,score
0,0.960618,0.039382,0.58647,0.654836
2,0.960964,0.039036,0.586125,0.654803
4,0.961042,0.038958,0.585983,0.654759
6,0.96045,0.03955,0.588112,0.655664
8,0.96094,0.03906,0.587979,0.655811
10,0.960589,0.039411,0.587518,0.6554
12,0.960742,0.039258,0.588094,0.655785
14,0.960774,0.039226,0.588158,0.655835
16,0.961307,0.038693,0.588842,0.656451
18,0.960788,0.039212,0.587658,0.655566
20,0.962061,0.037939,0.590812,0.657874
22,0.961892,0.038108,0.589701,0.657187
24,0.962909,0.037091,0.59044,0.658051
26,0.963209,0.036791,0.591726,0.658894
28,0.962036,0.037964,0.590707,0.657805
30,0.962843,0.037157,0.589245,0.657364
32,0.961944,0.038056,0.588582,0.656595
34,0.962133,0.037867,0.590028,0.657475
36,0.960951,0.039049,0.587999,0.655827
38,0.960808,0.039192,0.588416,0.655993
40,0.961725,0.038275,0.587683,0.656002
42,0.961164,0.038836,0.588727,0.656323
44,0.961167,0.038833,0.588237,0.656056
46,0.961252,0.038748,0.587975,0.65595
48,0.961491,0.038509,0.588416,0.6563
50,0.961529,0.038471,0.58833,0.65627
52,0.962125,0.037875,0.588889,0.656845
54,0.961915,0.038085,0.589274,0.656963
56,0.962212,0.037788,0.589335,0.65713
58,0.962943,0.037057,0.587821,0.656626
60,0.962509,0.037491,0.589009,0.657084
62,0.96146,0.03854,0.58955,0.656909
64,0.962787,0.037213,0.589268,0.657351
66,0.961299,0.038701,0.588332,0.656167
68,0.9606,0.0394,0.587489,0.655389
70,0.96073,0.03927,0.587167,0.65527
72,0.961578,0.038422,0.587537,0.655856
74,0.961262,0.038738,0.588176,0.656065
76,0.960786,0.039214,0.585782,0.654534
78,0.9604,0.0396,0.586945,0.654999
80,0.960227,0.039773,0.588205,0.655615
82,0.961068,0.038932,0.587916,0.655834
84,0.960975,0.039025,0.586973,0.655274
86,0.959581,0.040419,0.58595,0.654084
88,0.959739,0.040261,0.585286,0.65379
90,0.960253,0.039747,0.582874,0.652694
92,0.960222,0.039778,0.586457,0.654651
94,0.959698,0.040302,0.586072,0.654204
96,0.960183,0.039817,0.585134,0.653906
98,0.95972,0.04028,0.587737,0.65513
100,0.960116,0.039884,0.585948,0.654324
102,0.959726,0.040274,0.58697,0.65471
104,0.960907,0.039093,0.588725,0.656207
106,0.960743,0.039257,0.588208,0.655849
108,0.960975,0.039025,0.585564,0.654499
110,0.961233,0.038767,0.587574,0.65572
112,0.959975,0.040025,0.58737,0.655042
114,0.960045,0.039955,0.587185,0.654972
116,0.960795,0.039205,0.588203,0.655869
118,0.960657,0.039343,0.586898,0.655089
120,0.960018,0.039982,0.586238,0.654439
122,0.960055,0.039945,0.587096,0.654927
124,0.961114,0.038886,0.586591,0.655126
126,0.959793,0.040207,0.588477,0.655569
128,0.959565,0.040435,0.586709,0.654494
130,0.960431,0.039569,0.587335,0.655228
132,0.959026,0.040974,0.586812,0.654308
134,0.959971,0.040029,0.587406,0.65506
136,0.959994,0.040006,0.587578,0.655165
138,0.961027,0.038973,0.586677,0.655134
140,0.960461,0.039539,0.587127,0.655127
142,0.95998,0.04002,0.588271,0.65554
144,0.960574,0.039426,0.58771,0.655499
146,0.960976,0.039024,0.588849,0.656306
148,0.96172,0.03828,0.587688,0.656002
150,0.963043,0.036957,0.589742,0.657727
152,0.961942,0.038058,0.588908,0.656773
154,0.96411,0.03589,0.589723,0.658197
156,0.962845,0.037155,0.58942,0.657461
158,0.962329,0.037671,0.589834,0.657457
160,0.961955,0.038045,0.588377,0.656487
162,0.962,0.038,0.587183,0.655851
164,0.961744,0.038256,0.588375,0.656391
166,0.960233,0.039767,0.588877,0.655987
168,0.960255,0.039745,0.587931,0.655476
170,0.961258,0.038742,0.588406,0.656189
172,0.96223,0.03777,0.589253,0.657093
174,0.962297,0.037703,0.589364,0.657184
176,0.962523,0.037477,0.588575,0.656851
178,0.962368,0.037632,0.589585,0.657337
180,0.962289,0.037711,0.589744,0.657389
182,0.963135,0.036865,0.590232,0.658038
184,0.9627,0.0373,0.589499,0.65744
186,0.962129,0.037871,0.588496,0.656631
188,0.96149,0.03851,0.589324,0.656799
190,0.962398,0.037602,0.588359,0.656676
192,0.962157,0.037843,0.589002,0.656922
194,0.962925,0.037075,0.589552,0.65757
196,0.96179,0.03821,0.590984,0.657847
198,0.96383,0.03617,0.58987,0.658152
200,0.963356,0.036644,0.588835,0.65737
202,0.961896,0.038104,0.589617,0.657142
204,0.961996,0.038004,0.589048,0.656875
206,0.961456,0.038544,0.589229,0.656731
208,0.961852,0.038148,0.587541,0.655981
210,0.960665,0.039335,0.586923,0.655107
