scope,model,n,tp,fp,tn,fn,accuracy,precision,recall,f1
standard/train,logreg,18411,1767,707,15916,21,0.960458,0.714228,0.988255,0.829188
standard/val,logreg,3912,378,132,3398,4,0.965235,0.741176,0.989529,0.847534
standard/test,logreg,3885,385,143,3355,2,0.962677,0.729167,0.994832,0.84153
standard/train,tree,18411,1788,682,15941,0,0.962957,0.723887,1.0,0.839831
standard/val,tree,3912,381,150,3380,1,0.961401,0.717514,0.997382,0.834611
standard/test,tree,3885,387,158,3340,0,0.959331,0.710092,1.0,0.830472
lofo/convex_irregular_polygon,logreg,5040,149,75,4796,20,0.981151,0.665179,0.881657,0.75827
lofo/convex_irregular_polygon,tree,5040,156,120,4751,13,0.973611,0.565217,0.923077,0.701124
lofo/ellipse,logreg,5040,712,440,3882,6,0.911508,0.618056,0.991643,0.761497
lofo/ellipse,tree,5040,672,168,4154,46,0.95754,0.8,0.935933,0.862644
lofo/rectangle,logreg,5040,362,241,4361,76,0.937103,0.600332,0.826484,0.695485
lofo/rectangle,tree,5040,410,64,4538,28,0.981746,0.864979,0.936073,0.899123
lofo/regular_polygon,logreg,5040,1007,274,3715,44,0.936905,0.786105,0.958135,0.863636
lofo/regular_polygon,tree,5040,1051,101,3888,0,0.97996,0.912326,1.0,0.954153
lofo/rounded_rectangle,logreg,5040,102,154,4758,26,0.964286,0.398438,0.796875,0.53125
lofo/rounded_rectangle,tree,5040,124,202,4710,4,0.959127,0.380368,0.96875,0.546256
mvp/all,logreg,1008,53,31,924,0,0.969246,0.630952,1.0,0.773723
mvp/all,tree,1008,53,4,951,0,0.996032,0.929825,1.0,0.963636
