rank,feature,coef_standardised,abs_coef,feature_mean,feature_scale,tree_importance
1,volume_ratio,-15.560015,15.560015,1.465027,1.400912,0.0
2,area_ratio,-13.570103,13.570103,1.142251,0.761616,0.231845
3,iou,7.862966,7.862966,0.605995,0.199622,0.131068
4,piece_perimeter_mm,-1.893657,1.893657,139.615901,35.628246,0.002397
5,cavity_volume_mm3,1.600322,1.600322,94112.192868,66703.655185,0.0
6,cavity_perimeter_mm,1.405356,1.405356,139.582812,38.336308,0.0
7,piece_area_mm2,-1.096037,1.096037,1133.374094,638.63222,0.0
8,piece_height_mm,-1.017015,1.017015,95.473697,26.544326,0.0
9,depth_compatibility_mm,0.862455,0.862455,-13.29559,34.177052,0.617451
10,cavity_compactness,0.634672,0.634672,0.70397,0.224315,0.0
11,cavity_area_mm2,-0.589597,0.589597,1138.258817,681.261826,0.0
12,lateral_clearance_proxy_mm2,0.562417,0.562417,4.884723,530.379596,0.016867
13,cavity_bbox_aspect_ratio,-0.52962,0.52962,1.363955,0.415771,0.0
14,compactness_diff,-0.330351,0.330351,0.072375,0.148779,0.0
15,piece_compactness,-0.241225,0.241225,0.707309,0.224092,0.0
16,bbox_aspect_diff,-0.192943,0.192943,0.114028,0.30465,0.000372
17,cavity_depth_mm,0.096079,0.096079,82.178107,25.814404,0.0
18,piece_bbox_aspect_ratio,0.060675,0.060675,1.369817,0.414436,0.0
19,candidate_rotation_deg,0.037489,0.037489,175.300092,103.944793,0.0
20,piece_volume_mm3,0.016697,0.016697,109359.081507,73148.257926,0.0
