rank,feature,coef_standardised,abs_coef,feature_mean,feature_scale,tree_importance
1,area_ratio,-16.492087,16.492087,1.142251,0.761616,0.485267
2,iou,6.628816,6.628816,0.605995,0.199622,0.342618
3,piece_perimeter_mm,-3.817319,3.817319,139.615901,35.628246,0.0
4,cavity_perimeter_mm,2.969876,2.969876,139.582812,38.336308,0.0
5,piece_compactness,-1.814232,1.814232,0.707309,0.224092,0.0
6,cavity_compactness,1.72853,1.72853,0.70397,0.224315,0.0
7,depth_offset_mm,0.753455,0.753455,-31.505741,45.959037,0.008083
8,cavity_volume_mm3,0.716835,0.716835,54218.204999,50304.880625,0.0
9,cavity_depth_mm,0.690859,0.690859,48.127012,29.872169,0.133214
10,piece_volume_mm3,0.662351,0.662351,92366.919052,74023.609291,0.0
11,piece_height_mm,-0.402153,0.402153,79.632753,34.789245,0.004507
12,lateral_clearance_proxy_mm2,0.321513,0.321513,4.884723,530.379596,0.007629
13,piece_area_mm2,-0.258648,0.258648,1133.374094,638.63222,0.0
14,bbox_aspect_diff,-0.254904,0.254904,0.114028,0.30465,0.01288
15,compactness_diff,-0.192167,0.192167,0.072375,0.148779,0.005801
16,piece_bbox_aspect_ratio,-0.117841,0.117841,1.369817,0.414436,0.0
17,cavity_bbox_aspect_ratio,-0.040558,0.040558,1.363955,0.415771,0.0
18,candidate_rotation_deg,0.016288,0.016288,175.300092,103.944793,0.0
19,cavity_area_mm2,0.007842,0.007842,1138.258817,681.261826,0.0
