sample_id,piece_id,cavity_id,shape_family,is_mvp,rotation_deg,label,split,heldout_family_fold,cavity_source,piece_height_mm,cavity_depth_mm,p_mask_area_px,c_mask_area_px,iou
0,rectangle_000,rectangle_000_cav00,rectangle,False,0,1,train,0,matching_clearance,49.554,77.744,5376,5676,0.956907
1,rectangle_000,rectangle_000_cav00,rectangle,False,10,1,train,0,matching_clearance,49.554,77.744,5394,5676,0.855418
2,rectangle_000,rectangle_000_cav00,rectangle,False,20,0,train,0,matching_clearance,49.554,77.744,5328,5676,0.767953
3,rectangle_000,rectangle_000_cav00,rectangle,False,30,0,train,0,matching_clearance,49.554,77.744,5390,5676,0.714424
4,rectangle_000,rectangle_000_cav00,rectangle,False,40,0,train,0,matching_clearance,49.554,77.744,5358,5676,0.683754
5,rectangle_000,rectangle_000_cav00,rectangle,False,50,0,train,0,matching_clearance,49.554,77.744,5358,5676,0.671253
6,rectangle_000,rectangle_000_cav00,rectangle,False,60,0,train,0,matching_clearance,49.554,77.744,5390,5676,0.669997
7,rectangle_000,rectangle_000_cav00,rectangle,False,70,0,val,0,matching_clearance,49.554,77.744,5328,5676,0.666386
8,rectangle_000,rectangle_000_cav00,rectangle,False,80,0,val,0,matching_clearance,49.554,77.744,5394,5676,0.631339
9,rectangle_000,rectangle_000_cav00,rectangle,False,90,0,train,0,matching_clearance,49.554,77.744,5376,5676,0.615111
10,rectangle_000,rectangle_000_cav00,rectangle,False,100,0,train,0,matching_clearance,49.554,77.744,5394,5676,0.631339
11,rectangle_000,rectangle_000_cav00,rectangle,False,110,0,train,0,matching_clearance,49.554,77.744,5328,5676,0.666386
12,rectangle_000,rectangle_000_cav00,rectangle,False,120,0,train,0,matching_clearance,49.554,77.744,5390,5676,0.669997
13,rectangle_000,rectangle_000_cav00,rectangle,False,130,0,train,0,matching_clearance,49.554,77.744,5358,5676,0.671253
14,rectangle_000,rectangle_000_cav00,rectangle,False,140,0,train,0,matching_clearance,49.554,77.744,5358,5676,0.683754
15,rectangle_000,rectangle_000_cav00,rectangle,False,150,0,test,0,matching_clearance,49.554,77.744,5390,5676,0.714424
16,rectangle_000,rectangle_000_cav00,rectangle,False,160,0,train,0,matching_clearance,49.554,77.744,5328,5676,0.767953
17,rectangle_000,rectangle_000_cav00,rectangle,False,170,1,train,0,matching_clearance,49.554,77.744,5394,5676,0.855418
18,rectangle_000,rectangle_000_cav00,rectangle,False,180,1,train,0,matching_clearance,49.554,77.744,5376,5676,0.956907
19,rectangle_000,rectangle_000_cav00,rectangle,False,190,1,train,0,matching_clearance,49.554,77.744,5394,5676,0.855418
20,rectangle_000,rectangle_000_cav00,rectangle,False,200,0,test,0,matching_clearance,49.554,77.744,5328,5676,0.767953
21,rectangle_000,rectangle_000_cav00,rectangle,False,210,0,train,0,matching_clearance,49.554,77.744,5390,5676,0.714424
22,rectangle_000,rectangle_000_cav00,rectangle,False,220,0,val,0,matching_clearance,49.554,77.744,5358,5676,0.683754
23,rectangle_000,rectangle_000_cav00,rectangle,False,230,0,train,0,matching_clearance,49.554,77.744,5358,5676,0.671253
24,rectangle_000,rectangle_000_cav00,rectangle,False,240,0,train,0,matching_clearance,49.554,77.744,5390,5676,0.669997
25,rectangle_000,rectangle_000_cav00,rectangle,False,250,0,test,0,matching_clearance,49.554,77.744,5328,5676,0.666386
26,rectangle_000,rectangle_000_cav00,rectangle,False,260,0,test,0,matching_clearance,49.554,77.744,5394,5676,0.631339
27,rectangle_000,rectangle_000_cav00,rectangle,False,270,0,train,0,matching_clearance,49.554,77.744,5376,5676,0.615111
28,rectangle_000,rectangle_000_cav00,rectangle,False,280,0,test,0,matching_clearance,49.554,77.744,5394,5676,0.631339
29,rectangle_000,rectangle_000_cav00,rectangle,False,290,0,train,0,matching_clearance,49.554,77.744,5328,5676,0.666386
30,rectangle_000,rectangle_000_cav00,rectangle,False,300,0,train,0,matching_clearance,49.554,77.744,5390,5676,0.669997
31,rectangle_000,rectangle_000_cav00,rectangle,False,310,0,train,0,matching_clearance,49.554,77.744,5358,5676,0.671253
32,rectangle_000,rectangle_000_cav00,rectangle,False,320,0,train,0,matching_clearance,49.554,77.744,5358,5676,0.683754
